worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33903622,1,10,1,4,0.25,0.0625,0,0.78,0.45,0,0,0,0,0,0
33900189,1,0,1,0,0,0.5,0,0.33,0.2,1,1,0,0,0,0
33793607,0,8,0,0,0,0,1,0.82,0.48,0,0,0,0,0,0
33721948,0,12,0,4,0.25,0,0,0.79,0.45,0,0,0,0,0,0
33565158,1,4,1,2,0.25,0.125,0,0.76,0.41,0,0,0,0,0,0
33500282,8,0,8,0,0,0.5,0,0.41,0.24,0,0,0,0,0,0
33386576,7,0,7,0,0,0.5,0,0.19,0.12,1,1,0,0,0,0
33189780,6,0,6,0,0,0.5,0,0.31,0.19,1,1,0,0,0,0
32799278,0,10,0,2,0.166666666666667,0,0,0.69,0.43,0,0,0,0,0,0
32352104,0,12,0,0,0,0,1,0.78,0.45,0,0,0,0,0,0
32338429,0,16,0,0,0,0,1,0.79,0.46,0,0,0,0,0,0
32306192,0,26,0,2,0.0714285714285714,0,0,0.71,0.43,0,0,0,0,0,0
32053642,12,0,12,4,0.142857142857143,0.428571428571429,0,0.38,0.25,0,0,0,0,0,0
31304413,3,10,3,0,0,0.1875,0,0.64,0.38,0,0,0,0,0,0
31184650,0,16,0,0,0,0,1,0.76,0.46,0,0,0,0,0,0
30901412,6,4,6,0,0,0.375,0,0.47,0.24,0,0,0,0,0,0
30779198,6,2,6,2,0.125,0.375,0,0.52,0.33,0,0,0,0,0,0
29849805,9,6,9,4,0.142857142857143,0.321428571428571,0,0.53,0.29,0,0,0,0,0,0
29216552,0,4,0,0,0,0,1,0.87,0.54,0,0,0,0,0,0
29155723,7,2,7,0,0,0.4375,0,0.49,0.26,0,0,0,0,0,0
28884030,0,0,0,28,1,0,1,0.22,0.13,1,1,0,0,0,0
28524232,6,2,6,2,0.125,0.375,0,0.27,0.19,1,1,0,0,0,0
28103910,1,14,1,0,0,0.0625,0,0.62,0.37,0,0,0,0,0,0
26602053,7,2,7,0,0,0.4375,0,0.5,0.27,0,0,0,0,0,0
25257275,3,8,3,2,0.125,0.1875,0,0.63,0.36,0,0,0,0,0,0
23804661,4,8,4,0,0,0.25,0,0.7,0.42,0,0,0,0,0,0
22535866,7,0,7,2,0.125,0.4375,0,0.46,0.24,0,0,0,0,0,0
22222103,0,12,0,4,0.25,0,0,0.62,0.35,0,0,0,0,0,0
22166359,2,0,2,0,0,0.5,0,0.26,0.19,1,1,0,0,0,0
22141613,0,0,0,28,1,0,1,0.22,0.13,1,1,0,0,0,0
21665495,0,14,0,2,0.125,0,0,0.76,0.45,0,0,0,0,0,0
21490235,3,10,3,0,0,0.1875,0,0.7,0.41,0,0,0,0,0,0
20312760,8,0,8,0,0,0.5,0,0.29,0.17,1,1,0,0,0,0
20113482,7,0,7,2,0.125,0.4375,0,0.36,0.2,1,1,0,0,0,0
20043586,1,4,1,10,0.625,0.0625,0,0.6,0.35,1,0,0,0,1,0
19294877,0,4,0,0,0,0,1,0.87,0.54,0,0,0,0,0,0
17950689,1,22,1,4,0.142857142857143,0.0357142857142857,0,0.69,0.4,0,0,0,0,0,0
16682358,2,12,2,0,0,0.125,0,0.68,0.42,0,0,0,0,0,0
16654434,4,8,4,0,0,0.25,0,0.58,0.37,0,0,0,0,0,0
16101132,0,0,0,4,1,0,1,0.1,0.06,1,1,0,0,0,0
14571439,0,8,0,0,0,0,1,0.75,0.46,0,0,0,0,0,0
13581319,4,4,4,4,0.25,0.25,0,0.44,0.27,0,0,0,0,0,0
9653950,0,4,0,0,0,0,1,0.87,0.54,0,0,0,0,0,0
6344072,0,8,0,4,0.333333333333333,0,0,0.74,0.41,0,0,0,0,0,0
4711962,0,28,0,0,0,0,1,0.71,0.43,0,0,0,0,0,0
4688131,6,2,6,2,0.125,0.375,0,0.48,0.26,0,0,0,0,0,0
3587109,0,16,0,0,0,0,1,0.76,0.46,0,0,0,0,0,0