worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,manually_checked,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33761260,10,6,10,2,0.07,0.357142857142857,0,3.75,2.3,0.6336586139207470,0.4528432755530820,0,0,0,0,0,0,0
33725995,0,24,0,4,0.14,0,0,1.46,NONE,0.6346301567638930,0.54674717569146900,1,0,0,0,0,0,1
33721948,0,26,0,2,0.07,0,0,1,NONE,0.7410262149800100,0.6605960264900660,0,0,0,0,0,0,0
33538351,5,8,5,0,0,0.277777777777778,0,4,2.2,0.7188180884663220,0.48632651971161300,0,0,0,0,0,0,0
33467170,6,6,6,0,0,0.333333333333333,0,4.25,0,0.6442623118540410,0.5013170184913880,0,0,0,0,0,0,0
33271440,0,0,0,28,1,0,1,NONE,NONE,0.12470688465725700,0.10495626822157400,1,1,1,0,0,0,0
32916723,0,18,0,0,0,0,1,2.39,NONE,0.7294201383753200,0.5336717979575120,0,0,0,0,0,0,0
32352104,3,22,3,0,0,0.107142857142857,0,1.04,1,0.7724014528743600,0.6814868804664720,0,0,0,0,0,0,0
32123974,13,2,13,0,0,0.464285714285714,0,6,3.62,0.7455622272714880,0.4860886932200870,0,0,0,0,0,0,0
31695021,6,4,6,2,0.11,0.333333333333333,0,6,2.83,0.78103773996219,0.5398638043812890,0,0,0,0,0,0,0
31670127,3,0,3,2,0.25,0.375,0,1.67,1.67,0.6571273153780940,0.53651188501934800,0,0,0,0,0,0,0
31345986,0,14,0,14,0.5,0,0,4.07,NONE,0.5877464063778040,0.4252586315580180,0,0,0,0,0,0,0
31304413,7,4,7,0,0,0.388888888888889,0,2.18,1,0.7540291939790820,0.5765943355229070,0,0,0,0,0,0,0
31184650,0,6,0,0,0,0,1,1.5,NONE,0.7494999496573650,0.6419902912621360,0,0,0,0,0,0,0
30901412,6,12,6,4,0.14,0.214285714285714,0,4.89,0,0.7522499562158700,0.53608976660998300,0,0,0,0,0,0,0
30137403,6,6,6,0,0,0.333333333333333,0,8.75,5.5,0.7403969580664840,0.4459804684226450,0,0,0,0,0,0,0
29849805,12,4,12,0,0,0.428571428571429,0,5.38,2.75,0.7516295414943920,0.4886746687172910,0,0,0,0,0,0,0
29688905,6,4,6,2,0.11,0.333333333333333,0,2.6,0.33,0.6828756468349530,0.530539468039468,0,0,0,0,0,0,0
29216801,0,18,0,0,0,0,1,1,NONE,0.7323235578126080,0.639961389961390,0,2,0,0,0,0,0
29155723,6,14,6,2,0.07,0.214285714285714,0,7.35,6,0.7551007470416920,0.45788794999815500,0,0,0,0,0,0,0
29096504,0,28,0,0,0,0,1,1.79,NONE,0.784328537255791,0.6277381561393480,0,0,0,0,0,0,0
28884030,0,0,0,28,1,0,1,NONE,NONE,0.1944606052338960,0.13990066225165600,1,1,1,0,0,0,0
28103910,1,14,1,2,0.11,0.0555555555555556,0,1.07,1,0.7005851342173050,0.6131775560346990,0,0,0,0,0,0,0
27934334,11,6,11,0,0,0.392857142857143,0,6.76,0,0.6447433952321290,0.4763199889924690,0,0,0,0,0,0,0
27753923,14,0,14,0,0,0.5,0,1.71,0,0.4994352675514540,0.4392545069904340,0,1,0,0,0,0,0
25257275,5,18,5,0,0,0.178571428571429,0,1,1,0.7714359912250680,0.6895043731778430,0,0,0,0,0,0,0
24449707,12,4,12,0,0,0.428571428571429,0,5.94,3.08,0.6973404299592420,0.46664394467505300,0,0,0,0,0,0,0
23804661,0,16,0,2,0.11,0,0,2.94,NONE,0.708474062229713,0.49958532287479700,0,0,0,0,0,0,0
23503585,6,16,6,0,0,0.214285714285714,0,7.86,5.33,0.8116855135337240,0.49346105019370700,0,0,0,0,0,0,0
22388850,9,8,9,2,0.07,0.321428571428571,0,5.29,0,0.6227647662275750,0.4904383575863960,1,0,0,0,0,0,1
21665495,0,28,0,0,0,0,1,1,NONE,0.7589747707822700,0.677113702623907,0,1,0,0,0,0,0
21490235,7,12,7,2,0.07,0.25,0,1.16,1,0.7111600463711440,0.6201634290555570,0,0,0,0,0,0,0
20312760,12,0,12,4,0.14,0.428571428571429,0,2.17,0,0.5174045059209170,0.4303197538296880,0,0,0,0,0,0,0
20113482,5,16,5,2,0.07,0.178571428571429,0,6.9,4.2,0.7852630121455610,0.489392666038051,0,0,0,0,0,0,0
20043586,6,4,6,2,0.11,0.333333333333333,0,2.6,1.67,0.54798042337563100,0.43750999785663700,0,0,0,0,0,0,0
19913374,0,26,0,2,0.07,0,0,1,NONE,0.7571547486055450,0.6498344370860930,0,2,0,0,0,0,0
19302668,13,0,13,0,0,0.5,0,1,1,0.6943842538099380,0.6097359735973600,0,0,0,0,0,0,0
19294877,8,12,8,0,0,0.285714285714286,0,8.6,0,0.684656903355850,0.4848332870750640,0,0,0,0,0,0,0
18990100,14,0,14,0,0,0.5,0,8.64,4.93,0.7662904060741870,0.46682169886329500,0,0,0,0,0,0,0
17950689,0,28,0,0,0,0,1,1.75,NONE,0.7550268442485870,0.6071096749162790,0,0,0,0,0,0,0
16101132,0,24,0,4,0.14,0,0,1.25,NONE,0.6516371534109300,0.52965723164642100,0,0,0,0,0,0,0
15577915,10,0,10,2,0.09,0.454545454545455,0,5.9,0,0.61266466246761700,0.49629946942218000,0,0,0,0,0,0,0
14353703,4,2,4,0,0,0.4,0,4,0,0.6177550339378540,0.4726511846394890,0,0,0,0,0,0,0
13581319,14,0,14,0,0,0.5,0,6,0,0.61344377171913200,0.5051421835644690,0,0,0,0,0,0,0
4711962,0,28,0,0,0,0,1,1,NONE,0.7267157485518980,0.6382450331125830,0,1,0,0,0,0,0
3587109,0,26,0,2,0.07,0,0,2.12,NONE,0.7959643997068880,0.5772964385275980,0,0,0,0,0,0,0